race_id,state,district_number,district_id,incumbent_party,pvi,cook_rating
2026_House_AK_00,AK,0,02-00,REP,-9.39,Likely R
2026_House_AL_01,AL,1,01-01,REP,-15.24,Safe R
2026_House_AL_02,AL,2,01-02,DEM,-16.33,Safe R
2026_House_AL_03,AL,3,01-03,REP,-16.49,Safe R
2026_House_AL_04,AL,4,01-04,REP,-30.5,Safe R
2026_House_AL_05,AL,5,01-05,REP,-17.57,Safe R
2026_House_AL_06,AL,6,01-06,REP,-25.59,Safe R
2026_House_AL_07,AL,7,01-07,DEM,20.42,Safe D
2026_House_AR_01,AR,1,05-01,REP,-17.01,Safe R
2026_House_AR_02,AR,2,05-02,REP,-7.41,Likely R
2026_House_AR_03,AR,3,05-03,REP,-18.76,Safe R
2026_House_AR_04,AR,4,05-04,REP,-16.77,Safe R
2026_House_AZ_01,AZ,1,04-01,REP,-2.46,Toss-up
2026_House_AZ_02,AZ,2,04-02,REP,-0.63,Toss-up
2026_House_AZ_03,AZ,3,04-03,DEM,12.57,Likely D
2026_House_AZ_04,AZ,4,04-04,DEM,-21.29,Safe R
2026_House_AZ_05,AZ,5,04-05,REP,-14.57,Likely R
2026_House_AZ_06,AZ,6,04-06,REP,-9.43,Likely R
2026_House_AZ_07,AZ,7,04-07,DEM,22.97,Safe D
2026_House_AZ_08,AZ,8,04-08,REP,-13.39,Likely R
2026_House_AZ_09,AZ,9,04-09,REP,3.98,Lean D
2026_House_CA_01,CA,1,06-01,REP,-11.04,Likely R
2026_House_CA_02,CA,2,06-02,DEM,21.79,Safe D
2026_House_CA_03,CA,3,06-03,REP,4.72,Lean D
2026_House_CA_04,CA,4,06-04,DEM,-10.19,Likely R
2026_House_CA_05,CA,5,06-05,REP,21.35,Safe D
2026_House_CA_06,CA,6,06-06,DEM,20.91,Safe D
2026_House_CA_07,CA,7,06-07,DEM,2.55,Toss-up
2026_House_CA_08,CA,8,06-08,DEM,-9.13,Likely R
2026_House_CA_09,CA,9,06-09,DEM,7.89,Likely D
2026_House_CA_10,CA,10,06-10,DEM,0.19,Toss-up
2026_House_CA_11,CA,11,06-11,DEM,21.08,Safe D
2026_House_CA_12,CA,12,06-12,DEM,37.42,Safe D
2026_House_CA_13,CA,13,06-13,DEM,40.2,Safe D
2026_House_CA_14,CA,14,06-14,DEM,26.85,Safe D
2026_House_CA_15,CA,15,06-15,DEM,20.37,Safe D
2026_House_CA_16,CA,16,06-16,DEM,9.09,Likely D
2026_House_CA_17,CA,17,06-17,DEM,24.51,Safe D
2026_House_CA_18,CA,18,06-18,DEM,22.77,Safe D
2026_House_CA_19,CA,19,06-19,DEM,23.51,Safe D
2026_House_CA_20,CA,20,06-20,REP,22.57,Safe D
2026_House_CA_21,CA,21,06-21,DEM,5.39,Lean D
